Scouter_U Gunslinger,Gunslinger
Destroyer_U Warload,Warload
Demonic_U Meteorogist,Striker
Painter_U Holyknight,Braker
Souleater_U Berserker,Holyknight
Reaper_U Striker,Berserker
Hawkeye_U Hawkeye,Hawkeye
Slayer_U Warload,Gunslinger
Holyknight_U Holyknight,Holyknight
Summoner_U Devilhunter,Meteorogist
Soulfist_U Braker,Gunslinger
Blaster_U Hawkeye,Braker
Sorceress_U Gunslinger,Meteorogist
Spearman_R Slayer_U,Destroyer_U,Holyknight
Arcana_R Hawkeye_U,Painter_U,Striker
Blade_R Souleater_U,Souleater_U,Striker
Meteorogist_R Meteorogist,Meteorogist,Meteorogist
Demonic_R Demonic_U,Demonic_U,Holyknight
Infighter_R Destroyer_U,Demonic_U,Braker
Berserker_R Berserker,Berserker,Berserker
Battlemaster_R Scouter_U,Soulfist_U,Striker
Braker_R Braker,Braker,Braker
Bard_R Painter_U,Blaster_U,Berserker
Ludrick_R Summoner_U,Scouter_U,Hawkeye
Devilhunter_R Devilhunter,Devilhunter,Devilhunter
Seto_R Reaper_U,Demonic_U,Meteorogist
Striker_R Striker,Striker,Striker
Saltgiant_R Gunslinger,Slayer_U,Warload
Setino_R Holyknight_U,Blaster_U,Meteorogist
Knut_R Sorceress_U,Sorceress_U,Braker
Docheol_R Zombie,Zombie,Zombie,Meteorogist
Hawkeye_R Hawkeye_U,Hawkeye_U
Anton_R Summoner_U,Painter_U,Devilhunter
Reaper_R Reaper_U,Reaper_U
Aporas_R Soulfist_U,Destroyer_U,Devilhunter
Ugo_R Scouter_U,Destroyer_U,Holyknight
Luave_R Destroyer_U,Gunslinger,Devilhunter
Aben_R Sorceress_U,Warload,Berserker
Eoro_R Blaster_U,Hawkeye_U,Devilhunter
Barto_R Slayer_U,Souleater_U,Devilhunter
Fufu_R Holyknight_U,Reaper_U,Warload
Sally_R Holyknight_U,Demonic_U,Devilhunter
Wilhelm_R Painter_U,Slayer_U,Devilhunter
Blaster_R Blaster_U,Blaster_U,Berserker
Soulfist_R Soulfist_U,Soulfist_U,Hawkeye
Liru_R Souleater_U,Berserker,Striker
Spearman_E Spearman_R,Ludrick_R,Knut_R
Banda_E Blade_R,Berserker_R,Summoner_U,Hawkeye_U,Warload
Allegro_E Fufu_R,Devilhunter_R,Infighter_R
Berserker_E Berserker_R,Blade_R,Saltgiant_R
Battlemaster_E Battlemaster_R,Ugo_R,Fufu_R
Calvasus_E Soulfist_R,Setino_R,Spearman_R
Maurg_E Blade_R,Blade_R,Braker_R
Saika_E Aporas_R,Devilhunter_R,Soulfist_R
Adele_E Aporas_R,Liru_R,Saltgiant_R¸¶¸®
Braker_E Braker_R,Seto_R,Arcana_R
Mochamocha_E Aben_R,Knut_R,Blaster_R
Kaishur_E Ludrick_R,Battlemaster_R,Devilhunter_R
Ludrick_E Ludrick_R,Barto_R,Wilhelm_R
Arcadia_E Knut_R,Aporas_R,Liru_R
Mari_E Blaster_R,Bard_R,Infighter_R
Darcy_E Hawkeye_R,Saltgiant_R,Arcana_R
Lauriel_E Liru_R,Wilhelm_R,Anton_R
Sasha_E Meteorogist_R,Knut_R,Braker_R
Habaek_E Souleater_U,Blade_R,Infighter_R
Shana_E Ugo_R,Eoro_R,Meteorogist_R
Osphere_E Reaper_R,Bard_R,Battlemaster_R
Shuherit_E Soulfist_R,Eoro_R,Reaper_R
Striker_E Striker_R,Fufu_R,Anton_R
Cain_E Devilhunter_R,Braker_R,Hawkeye_R
Kaister_E Bard_R,Sally_R,Luave_R
Nia_E Sally_R,Berserker_R,Summoner_U,Hawkeye
Thanatos_E Luave_R,Spearman_R,Striker_R
Morphe_E Reaper_R,Demonic_R,Eoro_R
Arcana_E Arcana_R,Striker_R,Hawkeye_R
Hawkeye_E Hawkeye_R,Luave_R,Meteorogist_R
Lahart_E Anton_R,Meteorogist_R,Barto_R
Elberhastic_E Seto_R,Ludrick_R,Reaper_R
Silpherion_E Setino_R,Aben_R,Luave_R
Genemadnik_E Berserker_R,Aben_R,Spearman_R
Behemoth_E Infighter_R,Ugo_R,Demonic_R
Kungelanium_E Demonic_R,Setino_R,Arcana_R
Urnil_E Eoro_R,Aporas_R,Seto_R
Gingerwhale_E Barto_R,Soulfist_R,Aben_R
Holyknight_E Holyknight_R,Liru_R,Wilhelm_R
Cardan_E Wilhelm_R,Blaster_R,Sally_R
Summoner_E Docheol_R ,Summoner_U,Striker_R,Sally_R
