BluenoU_ Gunner,Gunner
HucuroU_ Sword,Sword
RobbinU_ Nami,Sangji
BeapoU_ Chopper,Luffy
BrookU_ Zoro,Chopper
EnazumaU_ Sangji,Zoro
UsoppU_ Usopp,Usopp
TashigiU_ Sword,Gunner
ChopperU_ Chopper,Chopper
PeronaU_ Buggy,Nami
AceU_ Luffy,Gunner
FrankyU_ Usopp,Luffy
HazziU_ Gunner,Nami
DrakeR_ TashigiU_,hucuroU_,Chopper
GodeanelR_ UsoppU_,BeapoU_,Sangji
MoriaR_ BrookU_,BrookU_,Sangji
NamiR_ Nami,Nami,Nami
RobbinR_ RobbinU_,RobbinU_,Chopper
LucciR_ hucuroU_,RobbinU_,Luffy
ZoroR_ Zoro,Zoro,Zoro
MarcoR_ BluenoU_,AceU_,Sangji
LuffyR_ Luffy,Luffy,Luffy
CumaR_ BeapoU_,FrankyU_,Zoro
BajilhokinsR_ PeronaU_,BluenoU_,Usopp
BuggyR_ Buggy,Buggy,Buggy
bonkureiR_ EnazumaU_,RobbinU_,Nami
SangjiR_ Sangji,Sangji,Sangji
SmokerR_ Gunner,TashigiU_,Sword
SquadR_ ChopperU_,FrankyU_,Nami
AronR_ HazziU_,HazziU_,Luffy
AhpsalromR_ Zombie,Zombie,Zombie,Nami
UsoppR_ UsoppU_,UsoppU_
KidR_ PeronaU_,BeapoU_,Buggy
EnazumaR_ EnazumaU_,EnazumaU_
JinbeR_ AceU_,hucuroU_,Buggy
ChakaR_ BluenoU_,hucuroU_,Chopper
GangbatgeeR_ hucuroU_,Gunner,Buggy
CaptincroR_ HazziU_,Sword,Zoro
CrocodileR_ FrankyU_,UsoppU_,Buggy
KillerR_ TashigiU_,BrookU_,Buggy
ChopperGuardpointR_ ChopperU_,EnazumaU_,Sword
ChopperbrainupR_ ChopperU_,RobbinU_,Buggy
LawR_ BeapoU_,TashigiU_,Buggy
FrankyR_ FrankyU_,FrankyU_,Zoro
AceR_ AceU_,AceU_,Usopp
HearumepoR_ BrookU_,Zoro,Sangji
DrakeE_ DrakeR_,BajilhokinsR_,AronR_
RyumaE_ MoriaR_,ZoroR_,PeronaU_,UsoppU_,Sword
DoframingoE_ ChopperGuardpointR_,BuggyR_,LucciR_
ZoroE_ ZoroR_,MoriaR_,SmokerR_
MarcoE_ MarcoR_,ChakaR_,ChopperGuardpointR_
TichiE_ AceR_,SquadR_,DrakeR_
MainozE_ MoriaR_,MoriaR_,LuffyR_
MazelranE_ JinbeR_,BuggyR_,AceR_
MomongaE_ JinbeR_,HearumepoR_,SmokerR_
LuffyE_ LuffyR_,bonkureiR_,GodeanelR_
BartolomeoE_ CaptincroR_,AronR_,FrankyR_
BazesE_ BajilhokinsR_,MarcoR_,BuggyR_
BajilhokinsE_ BajilhokinsR_,KillerR_,LawR_
BanthedaekenE_ AronR_,JinbeR_,HearumepoR_
Baby5E_ FrankyR_,CumaR_,LucciR_
BanbeakumanE_ UsoppR_,SmokerR_,GodeanelR_
KizaruE_ HearumepoR_,LawR_,KidR_
